period,Total
2010-01,12559476
2010-02,10797080
2010-03,13406541
2010-04,12524436
2010-05,13510088
2010-06,14557825
2010-07,16265644
2010-08,15560107
2010-09,12741005
2010-10,13029124
2010-11,11767883
2010-12,13085763
2011-01,12906205
2011-02,11166018
2011-03,13715222
2011-04,13725439
2011-05,14098339
2011-06,15018895
2011-07,16973896
2011-08,16039225
2011-09,13408302
2011-10,13354932
2011-11,12304730
2011-12,13750736
2012-01,13441837
2012-02,11942221
2012-03,14648648
2012-04,14258621
2012-05,14510659
2012-06,15878348
2012-07,17333274
2012-08,16940090
2012-09,13990252
2012-10,13584080
2012-11,12933032
2012-12,14312139
2013-01,14000884
2013-02,12268025
2013-03,15476195
2013-04,14546642
2013-05,15581419
2013-06,16674967
2013-07,18083866
2013-08,17957447
2013-09,14449825
2013-10,14536600
2013-11,13448945
2013-12,15419197
2014-01,14944960
2014-02,12697485
2014-03,15867883
2014-04,15692977
2014-05,16570866
2014-06,17654128
2014-07,19135514
2014-08,19100833
2014-09,15182418
2014-10,15171010
2014-11,13895018
2014-12,16005963
2015-01,15717215
2015-02,13557148
2015-03,16585119
2015-04,16261979
2015-05,17390758
2015-06,18557079
2015-07,20824363
2015-08,20465865
2015-09,16513980
2015-10,16594642
2015-11,15193323
2015-12,17284882
2016-01,16929160
2016-02,14781989
2016-03,17801777
2016-04,17009369
2016-05,18333256
2016-06,19899165
2016-07,22029902
2016-08,21216933
2016-09,17568431
2016-10,17377970
2016-11,16053481
2016-12,18450238
2017-01,17930283
2017-02,15075141
2017-03,18313177
2017-04,19155343
2017-05,19353469
2017-06,21208569
2017-07,23350538
2017-08,22626894
2017-09,17924899
2017-10,18155445
2017-11,16906795
2017-12,18960941
2018-01,18344712
2018-02,16082295
2018-03,20162009
2018-04,19562594
2018-05,20619470
2018-06,22612169
2018-07,24314837
2018-08,23370960
2018-09,19159089
2018-10,19258623
2018-11,18069012
2018-12,19858149
